Contract Count,ID,LGA,Population,SEIFA,TargetedGroup,Service,Agency,Indigenous,Year
232,SaS~12105690239~2146,Blacktown,332424,61,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
155,SaS~12105690239~2500,Wollongong,206794,65,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
129,SaS~12105690239~2560,Campbelltown,156572,38,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
126,SaS~12105690239~2747,Penrith,194134,71,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
119,SaS~12105690239~2162,Bankstown,200357,44,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
117,SaS~12105690239~2114,Parramatta,189932,73,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
115,SaS~12105690239~2168,Liverpool,199928,58,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
105,SaS~12010992766~2285,Lake Macquarie,202676,69,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
103,SaS~12010992766~2232,Sutherland,225070,89,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
101,SaS~12010992766~2299,Newcastle,160021,72,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
101,SaS~12105690239~2261,Wyong,159015,37,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
95,SaS~12105690239~2007,Sydney City,198331,85,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
88,SaS~12010992766~2322,Cessnock,54979,19,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
85,SaS~12010992766~2145,Holroyd,111100,60,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
80,SaS~12105690239~2164,Fairfield,203109,4,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
72,SaS~12105690239~2077,Hornsby,168614,93,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
63,SaS~12105690239~2251,Gosford,171992,75,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
59,SaS~12105690239~2529,Shellharbour,68762,53,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
58,SaS~12105690239~2084,Warringah,155289,91,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
58,SaS~12105690239~2753,Hawkesbury,65527,77,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
58,SaS~13161368029~2540,Shoalhaven,99016,41,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
55,SaS~12105690239~2193,Canterbury,150626,34,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
54,SaS~12010992766~2034,Randwick,143776,88,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
54,SaS~12105690239~2220,Hurstville,85886,78,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
47,SaS~13006824004~2777,Blue Mountains,79688,82,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
45,SaS~13006824004~2567,Camden,67084,87,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
44,SaS~12010992766~2323,Maitland,75170,70,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
44,SaS~13006824004~2127,Auburn,85446,41,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
41,SaS~12105690239~2154,The Hills,187703,97,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
40,SaS~12010992766~2071,Ku-Ring-Gai,120978,100,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
37,SaS~13161368029~2450,Clarence Valley,51003,9,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
36,SaS~12105690239~2134,Burwood,36053,79,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
36,SaS~12105690239~2205,Rockdale,108072,75,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
35,SaS~12105690239~2042,Marrickville,83356,83,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
33,SaS~12105690239~2340,Tamworth,60495,45,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
33,SaS~13006824004~2430,Greater Taree,48941,8,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
32,SaS~12105690239~2112,Ryde,114598,89,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
32,SaS~12105690239~2131,Ashfield,44498,80,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
32,SaS~12105690239~2219,Kogarah,61030,86,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
32,SaS~16104341148~2318,Port Stephens,69728,58,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
31,SaS~12105690239~2101,Pittwater,63338,95,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
31,32265-01,Bellingen,13032,36,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
31,32265-01,Coffs Harbour,72382,46,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
31,32265-01,Gloucester,5064,31,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
31,32265-01,Great Lakes,36499,17,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
31,32265-01,Greater Taree,48941,8,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
31,32265-01,Kempsey,29643,3,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
31,32265-01,Nambucca,19655,6,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
31,32265-01,Port Macquarie-Hastings,77481,49,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
29,SaS~13006824004~2444,Port Macquarie-Hastings,77481,49,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
28,04071-05,Cessnock,54979,19,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
28,04071-05,Dungog,9108,63,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
28,04071-05,Lake Macquarie,202676,69,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
28,04071-05,Maitland,75170,70,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
28,04071-05,Muswellbrook,17045,51,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
28,04071-05,Newcastle,160021,72,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
28,04071-05,Port Stephens,69728,58,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
28,04071-05,Singleton,23884,76,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
28,04071-05,Upper Hunter,14658,56,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,SaS~12105690239~2752,Wollondilly,47084,81,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
