,Count,%
00 - 01 hour,13323,0.521
01 - 02 hours,1169,0.046
02 - 03 hours,841,0.033
03 - 04 hours,700,0.027
04 - 05 hours,621,0.024
05 - 06 hours,497,0.019
06 - 07 hours,472,0.018
07 - 08 hours,398,0.016
08 - 09 hours,412,0.016
09 - 10 hours,350,0.014
10 - 11 hours,365,0.014
11 - 12 hours,356,0.014
12 - 13 hours,378,0.015
13 - 14 hours,338,0.013
14 - 15 hours,360,0.014
15 - 16 hours,383,0.015
16 - 17 hours,372,0.015
17 - 18 hours,408,0.016
18 - 19 hours,505,0.020
19 - 20 hours,522,0.020
20 - 21 hours,560,0.022
21 - 22 hours,647,0.025
22 - 23 hours,717,0.028
23 - 24 hours,867,0.034
