Campaign,Creative,Site,Browser,OS,State,Engagement Day,Engagement Time,Interaction Time,Interaction to Engagement,Insurance,Exposure-Total,Exposure-Channel-Display,Exposure-Channel-Video,Exposure-Channel-Audio,Exposure-Channel-Rich Media,Exposure-Device-Mobile,Exposure-Device-Desktop,Exposure-Device-MultiDevice,Engagement
National,HTML_728x90,AOL - Advertising,Chrome,Macintosh,Florida,7. Saturday,00:00:00 - 00:59:59,15:00:00 - 15:59:59,08 - 09 hours, Other/Unknown,9,2,0,0,0,0,2,0,Video Chat
Southwestern,HTML_300x250,Media IQ,Chrome,Unix,Texas,7. Saturday,00:00:00 - 00:59:59,15:00:00 - 15:59:59,09 - 10 hours, Other/Unknown, 10+, 10+,1,0,0,8,7,1,Video Chat
Midwestern,HTML_320x50,doubleclick.com,Chrome,Android,Michigan,7. Saturday,02:00:00 - 02:59:59,15:00:00 - 15:59:59,11 - 12 hours,Blue Cross Blue Shield, 10+,1,0,0,0,1,0,0,Chat
Midwestern,Image_320x50,AOL - Advertising,Chrome,Android,Ohio,7. Saturday,03:00:00 - 03:59:59,21:00:00 - 21:59:59,05 - 06 hours, Other/Unknown, 10+, 10+,0,0,0, 10+,0,0,Chat
Southeastern,HTML_728x90,WebMD,Chrome,Android,Tennessee,7. Saturday,04:00:00 - 04:59:59,15:00:00 - 15:59:59,12 - 13 hours, Other/Unknown, 10+,5,0,0,0,0,0,5,Chat
Southwestern,HTML_320x50,doubleclick.com,Chrome,Android, Unknown,7. Saturday,04:00:00 - 04:59:59,15:00:00 - 15:59:59,13 - 14 hours, Other/Unknown, 10+,0,0,0,0,0,0,0,Chat
Southeastern,HTML_320x50,doubleclick.com,Safari (iPhone/iPod),Apple iOS,Florida,7. Saturday,12:00:00 - 12:59:59,21:00:00 - 21:59:59,15 - 16 hours, Other/Unknown, 10+, 10+,0,0,0, 10+,0,0,Chat
Western,HTML_320x50,doubleclick.com,Chrome,Android, Unknown,7. Saturday,13:00:00 - 13:59:59,15:00:00 - 15:59:59,22 - 23 hours, Other/Unknown, 10+,1,0,0,0,1,0,0,Schedule an Appointment
Eastern,HTML_728x90,Lifescript.com,Safari,Macintosh,New York,7. Saturday,14:00:00 - 14:59:59,21:00:00 - 21:59:59,17 - 18 hours, Other/Unknown, 10+,8,0,0,0,0,1,1,Chat
Southeastern,Image_300x250,doubleclick.com,Safari (iPhone/iPod),Apple iOS,Mississippi,7. Saturday,14:00:00 - 14:59:59,21:00:00 - 21:59:59,17 - 18 hours, Other/Unknown, 10+,2,0,0,0,2,0,0,Chat
Eastern,HTML_300x250,WebMD,Safari (iPhone/iPod),Apple iOS,New Jersey,7. Saturday,14:00:00 - 14:59:59,21:00:00 - 21:59:59,17 - 18 hours, Other/Unknown, 10+,4,0,0,0,0,0,4,Chat
National,HTML_300x250,Yahoo! Inc,Chrome,Microsoft Windows 8,California,7. Saturday,14:00:00 - 14:59:59,21:00:00 - 21:59:59,17 - 18 hours, Other/Unknown, 10+,8,0,0,0,0,7,0,Chat
National,HTML_300x250,doubleclick.com,Safari (iPhone/iPod),Apple iOS,Texas,7. Saturday,14:00:00 - 14:59:59,15:00:00 - 15:59:59,23 - 24 hours, Other/Unknown, 10+,2,0,0,0,0,2,0,Chat
Midwestern,HTML_300x600,Healthline,Safari,Macintosh,Illinois,7. Saturday,15:00:00 - 15:59:59,15:00:00 - 15:59:59,23 - 24 hours, Other/Unknown, 10+, 10+,0,0,0,0, 10+,3,Chat
Eastern,Image_320x50,AOL - Advertising,Chrome,Android,Texas,7. Saturday,16:00:00 - 16:59:59,15:00:00 - 15:59:59,01 - 02 hours,Blue Cross Blue Shield, 10+,7,0,0,0,7,0,0,Chat
Midwestern,HTML_728x90,Lifescript.com,Safari,Macintosh,Michigan,7. Saturday,16:00:00 - 16:59:59,15:00:00 - 15:59:59,01 - 02 hours,Blue Cross Blue Shield, 10+,5,0,0,0,0,0,5,Chat
National,Image_300x250,doubleclick.com,Chrome,Microsoft Windows 7,Missouri,7. Saturday,16:00:00 - 16:59:59,21:00:00 - 21:59:59,19 - 20 hours, Other/Unknown, 10+, 10+,0,0,0,0,9,0,Chat
Southeastern,HTML_300x250,Healthline,Chrome,Android,South Carolina,7. Saturday,16:00:00 - 16:59:59,21:00:00 - 21:59:59,19 - 20 hours,Blue Cross Blue Shield, 10+, 10+,0,0,0, 10+,0,0,Chat
National,HTML_160x600,Yahoo! Inc,Chrome,Microsoft Windows 10,California,7. Saturday,18:00:00 - 18:59:59,21:00:00 - 21:59:59,21 - 22 hours, Other/Unknown, 10+, 10+,0,0,0,1, 10+,0,Chat
Eastern,HTML_160x600,Healthline,Chrome,Macintosh,Virginia,7. Saturday,19:00:00 - 19:59:59,21:00:00 - 21:59:59,21 - 22 hours, Other/Unknown, 10+,8,0,0,0,0,8,0,Video Chat
Eastern,HTML_160x600,Lifescript.com,Chrome,Android,Pennsylvania,7. Saturday,19:00:00 - 19:59:59,21:00:00 - 21:59:59,21 - 22 hours, Other/Unknown, 10+,6,0,0,0,0,0,6,Chat
National,HTML_728x90,Time Inc,Microsoft Edge,Microsoft Windows 10,Florida,7. Saturday,19:00:00 - 19:59:59,15:00:00 - 15:59:59,04 - 05 hours, Other/Unknown,7,0,0,0,0,0,0,0,Video Chat
National,HTML_160x600,AOL - Advertising,Chrome,Microsoft Windows 10,California,7. Saturday,20:00:00 - 20:59:59,15:00:00 - 15:59:59,05 - 06 hours, Other/Unknown, 10+,8,0,0,0,0,8,0,Video Chat
Southwestern,HTML_300x250,WebMD,Chrome,Android,Texas,7. Saturday,21:00:00 - 21:59:59,15:00:00 - 15:59:59,05 - 06 hours, Other/Unknown, 10+, 10+,0,0,0, 10+,0,0,Chat
Southeastern,HTML_300x250,WebMD,Chrome,Microsoft Windows 7,South Carolina,7. Saturday,22:00:00 - 22:59:59,15:00:00 - 15:59:59,07 - 08 hours, Other/Unknown, 10+,4,0,0,0,0,0,4,Video Chat
Southwestern,HTML_160x600,WebMD,Chrome,Unix,Louisiana,7. Saturday,22:00:00 - 22:59:59,15:00:00 - 15:59:59,07 - 08 hours, Other/Unknown,9,4,0,0,0,0,0,3,Chat
Western,Image_300x250,doubleclick.com,Chrome,Android,California,7. Saturday,23:00:00 - 23:59:59,15:00:00 - 15:59:59,08 - 09 hours, Other/Unknown, 10+, 10+,0,0,0,9,0,0,Chat
Southwestern,Image_300x250,Media IQ,Chrome,Microsoft Windows 10,California,7. Saturday,23:00:00 - 23:59:59,21:00:00 - 21:59:59,02 - 03 hours, Other/Unknown, 10+, 10+,0,0,0,1, 10+,0,Chat
Southeastern,HTML_300x250,doubleclick.com,Chrome,Android,Tennessee,1. Sunday,02:00:00 - 02:59:59,21:00:00 - 21:59:59,04 - 05 hours,Blue Cross Blue Shield, 10+, 10+,0,0,0, 10+,1,0,Chat
Midwestern,HTML_160x600,WebMD,Chrome,Microsoft Windows 10,Michigan,1. Sunday,02:00:00 - 02:59:59,15:00:00 - 15:59:59,11 - 12 hours,Blue Cross Blue Shield, 10+,3,0,0,0,0,2,1,Chat
Eastern,HTML_300x250,Lifescript.com,Chrome,Android,New York,1. Sunday,03:00:00 - 03:59:59,21:00:00 - 21:59:59,05 - 06 hours, Other/Unknown, 10+,5,0,0,0,0,0,5,Chat
Western,HTML_320x50,WebMD,Safari (iPhone/iPod),Apple iOS,Montana,1. Sunday,04:00:00 - 04:59:59,21:00:00 - 21:59:59,07 - 08 hours, Other/Unknown, 10+,9,0,0,0,9,0,0,Chat
Western,HTML_728x90,WebMD,Microsoft Internet Explorer,Microsoft Windows 10,California,1. Sunday,05:00:00 - 05:59:59,21:00:00 - 21:59:59,08 - 09 hours, Other/Unknown, 10+, 10+,0,0,0,0,5,6,Video Chat
National,HTML_300x250,AOL - Advertising,Chrome,Microsoft Windows 10,Arizona,1. Sunday,05:00:00 - 05:59:59,15:00:00 - 15:59:59,14 - 15 hours, Other/Unknown, 10+, 10+,0,0,0,1, 10+,0,Chat
Western,HTML_300x250,doubleclick.com,Chrome,Android,Oregon,1. Sunday,05:00:00 - 05:59:59,21:00:00 - 21:59:59,08 - 09 hours, Other/Unknown, 10+,2,0,0,0,2,0,0,Chat
National,HTML_300x250,doubleclick.com,Safari (iPhone/iPod),Apple iOS,New York,1. Sunday,07:00:00 - 07:59:59,15:00:00 - 15:59:59,16 - 17 hours,None,6,2,0,0,0,0,2,0,Chat
National,HTML_300x250,doubleclick.com,Chrome,Macintosh,California,1. Sunday,09:00:00 - 09:59:59,21:00:00 - 21:59:59,11 - 12 hours,None,9,2,0,0,0,0,2,0,Chat
