Name,Lat,Lon,SEIFA
Fairfield,-33.85218702985493,150.8563066465256,4
Blacktown,-33.74130497139121,150.864258162645,61
Parramatta,-33.80309206739071,151.0500660905266,73
Newcastle,-32.89276362724815,151.7123413976166,72
Bankstown,-33.92387289007613,151.0132626662335,44
Sydney City,-33.88967151375568,151.2027388959959,85
Lake Macquarie,-33.04427282786669,151.5391515550347,69
Liverpool,-33.91548309807266,150.8058163849576,58
Wollongong,-34.44762432233149,150.7429656266694,65
Campbelltown,-34.07905803949013,150.8390206513243,38
Holroyd,-33.82836381500638,150.9574677926184,60
Sutherland,-34.08156995108979,151.0772385890151,89
Hawkesbury,-33.32083853638899,150.7830777756479,77
Cessnock,-32.95648480406026,151.2124249015701,19
Penrith,-33.80564190134211,150.7647214319578,71
Wingecarribee,-34.49409422868783,150.3548579194861,78
Blue Mountains,-33.69754166629727,150.4112400752809,82
Muswellbrook,-32.28956307493196,150.9343632636853,51
Wyong,-33.20419792624085,151.3072776167489,37
Shoalhaven,-35.09355350040924,150.3823932462092,41
Randwick,-33.94391906639869,151.2399690039855,88
Warringah,-33.73333034175183,151.2390298322323,91
Ryde,-33.79558922504916,151.1118729956094,89
Canterbury,-33.9235476240106,151.0928679004272,34
Hornsby,-33.58361690828962,151.0974422738021,93
Maitland,-32.71097836885414,151.5502142115153,70
Auburn,-33.86147130534847,151.0299227774655,41
Gosford,-33.38249154057712,151.2215151514639,75
Port Stephens,-32.72240559036423,151.8991012238773,58
Coffs Harbour,-30.18920797981379,153.0399590380057,46
Upper Hunter,-31.91465695902955,151.143427378748,56
Hurstville,-33.96589730816019,151.0701273018707,78
Port Macquarie-Hastings,-31.40983099458825,152.5313604613461,49
Marrickville,-33.90791546613487,151.1589122717704,83
The Hills,-33.59057239620786,150.9608871173915,97
Greater Taree,-31.79208380395328,152.2814011519652,8
Ku-Ring-Gai,-33.73454985103951,151.1509085306207,100
Wollondilly,-34.07590654383358,150.462719928555,81
Singleton,-32.66894940966452,150.9187246574846,76
Clarence Valley,-29.69378074045176,152.7724419732905,9
Kempsey,-30.85962551665855,152.4749650879879,3
Camden,-34.00880204954451,150.7240725953404,87
Tweed,-28.3222733219854,153.4662477498619,45
Botany Bay,-33.9507925563244,151.1987174346682,69
Willoughby,-33.80114089076974,151.1964138537184,94
North Sydney,-33.8310015473337,151.2216049110313,97
Great Lakes,-32.40471930941321,152.1103869784138,17
Dungog,-32.34956945071959,151.608279151428,63
Rockdale,-33.96835181906231,151.1434195352656,75
Pittwater,-33.63668989333564,151.2835500945595,95
Lane Cove,-33.82150670813838,151.1701828415229,99
Byron,-28.60422778370623,153.4828402130935,64
Ballina,-28.87230918686115,153.4856646332058,65
Manly,-33.79734329118335,151.2509066213979,96
Waverley,-33.89701055162252,151.2521544185895,92
Mosman,-33.82900193299038,151.2445465827441,99
Lismore,-28.75628501285038,153.2707330942873,43
Shellharbour,-34.58073416043184,150.7767438803627,53
Bellingen,-30.35963012841345,152.7251441345203,36
Gunnedah,-31.04613106974392,150.187470113707,28
Leichhardt,-33.87656056265308,151.1576096788643,93
Tamworth,-30.89248956156169,150.9070426613171,45
Nambucca,-30.71835636979759,152.8652134764617,6
Kogarah,-33.98723829935449,151.121185725755,86
Gloucester,-31.8581180842125,151.776143778722,31
Hunters Hill,-33.83332286275569,151.1449695348663,95
Armidale Dumaresq,-30.5495585091111,151.8748522243112,67
Mid-Western,-32.5938107188853,149.7424309824044,47
Woollahra,-33.88029711605157,151.2534954322069,98
Ashfield,-33.88568665963935,151.1307064692022,80
Albury,-36.0213214482898,147.0281983072026,57
Wagga Wagga,-35.29143989241592,147.6432771133138,71
Deniliquin,-35.52907618637605,144.973191140617,21
Canada Bay,-33.85620854421087,151.0996891632441,90
Gwydir,-29.59351521135156,150.5168190852855,25
Glen Innes Severn,-29.71165721968638,151.9395676584701,13
Richmond Valley,-29.05965916889785,153.0464869607612,5
Kyogle,-28.61773907046028,152.775686651633,8
Moree Plains,-29.19089458190202,149.5811954958655,15
Bathurst,-33.36327051911982,149.5195824682196,68
Narrabri,-30.35648846507448,149.5648798763524,36
Tenterfield,-29.12101158717341,151.6818599894125,10
Inverell,-29.36790600605143,151.0417159102898,12
Burwood,-33.88371049613377,151.1031339927012,79
Cabonne,-33.15298309475787,148.7541060092206,73
Dubbo,-32.29538059638229,148.5277536064064,54
Griffith,-34.30042666398412,146.0036000838975,48
Bega Valley,-36.82596814909498,149.7177240675568,47
Cooma-Monaro,-36.14856921571357,149.3366245503937,62
Tumut,-35.37820242134887,148.0842170047019,27
Leeton,-34.51111405341436,146.2691744995716,33
